,ticker,yearReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period
0,HPG,2024,13693502261178,6915671331197,108500407214,173470579978,-1718310403845,2287360810880,21472490878571,-1818671846432,-10759800904696,1994355381518,-227706209603,-2332422296347,-936764513356,447272727,-783607107167,6608320655215,-35495026797327,1253593566574,-28505457880646,31587656044222,0,31246619001,1339850195728,-29788138252448,233136000000,-119560000,174465587837075,-156878935679240,-4971010891,17814697586944,-5365120010289,12252001160884,764989257,6887646139852
1,HPG,2023,7792728743173,6761933539397,-1094201952159,291243752578,-1927836792719,3585077683881,15421044915455,-5601896103470,1026315216371,2609540999740,-87803327985,-3647295875670,-559992514733,0,-516882532682,8643030777026,-17373946475964,206461627829,-39803522821759,43279753995632,0,-526054585230,2222218737225,-11995089522267,700000000,-2343640000,127232900840872,-119947631065468,-8013794632,7275612340772,3923553595531,8324588920227,3858645126,12252001160884
2,HPG,2022,9922941127284,6759462100582,1010922330886,333983153559,-1832298259730,3083638131818,19291327380767,4711117735355,8023194725141,-14666409808394,2624176162,-3061103919849,-1246302085368,0,-776811527307,12277636676507,-17887504647036,21712492859,-55505793882381,47412529370171,-371644175956,6672170842,1697815926948,-24626212744553,4075000000,0,135250023212840,-134770628364289,-2261459543241,-1777989694690,-14126565762736,22471375562130,-20220879167,8324588920227
3,HPG,2021,37056777714190,6076516295417,163177531627,41938831417,-1661082595981,2525823258237,44209139034907,-3039385771765,-16949192989135,9250111116260,-813988306614,-2567276431082,-2743083962430,0,-625409387033,26720913303108,-11621470092371,49348550223,-41061488333969,31076412522291,0,833829028281,1053915562539,-19669452763006,10630000000,0,125075421125272,-121652859327347,-1693086647969,1740105149956,8791565690058,13696099298228,-16289426156,22471375562130
4,HPG,2020,15356966791701,4775781721269,28314185442,52078870772,-490559694590,2191680923417,21932338018863,-3374026162649,-7061024985401,4251742399296,-89041139127,-2027572222288,-1716802619015,0,-328363376705,11587249912974,-11915645555048,34418355881,-11971173251594,5003441426581,0,0,353560779277,-18495398244903,2700000000,0,83074115401537,-65603640057528,-1419473748756,16053701595253,9145553263324,4544900252204,5645782700,13696099298228
5,HPG,2019,9096662123386,2593232573029,-5772614376,24183514856,-286185193464,936710218359,12358830621790,-288519564021,-5132237172021,3557798129583,-8476974345,-867276241172,-1552892549868,0,-352057555830,7715168694116,-20825371574660,26937572033,-4467553072509,6832224480334,0,0,369546551545,-18064216043257,85000000,0,69584170644057,-57193667828616,-12646859136,12377940956305,2028893607164,2515617135457,389509583,4544900252204
6,HPG,2018,10071072872302,2259594298268,-72990493823,29910869480,-112985971103,539861243640,12740513971484,-1423156571992,-2301594154020,1459709130157,-500921130265,-611767789386,-1416437918395,0,-304001386852,7642344150731,-27594117760420,64821767118,-11295502021543,17443013202984,-115947860804,17599680288,946999021433,-20533133970944,11424719202,0,53472014216173,-42335009094686,-5918198429,11142511642260,-1748278177953,4264641954689,-746641279,2515617135457
7,HPG,2017,9288369742697,2004656709264,-10870919019,-4721135461,-100141408999,479707569855,11657000558337,-462712870273,-2201681306847,-427137753385,-57137603269,-476521018456,-1723779496359,0,-249708157378,6058322352370,-8875037848448,6994210217,-13644057693450,4461988265600,-40833411607,651015518,164530335333,-17925765126837,5057285360000,0,37194696510889,-30674534262267,-3754507141,11573693101481,-293749672986,4558660713745,-269086070,4264641954689
8,HPG,2016,7701823953675,1674325806175,-113894221513,22123664306,-142785039051,279951879407,9421546042999,-486371890043,-3334840113940,2294022318780,121804325086,-280617909310,-752694098346,0,-164128748378,6818719926848,-3416965133077,27787678259,-10561686300,271604227038,0,0,0,-3128134914080,10000000,0,28158082994564,-28560488372250,-1102410958562,-1504806336248,2185778676520,2372761840865,120196360,4558660713745
9,HPG,2015,3989828664796,1281591263404,65304349717,13166497767,-81208667361,251337896345,5811010811952,-17333301250,390083981802,-849876282431,66692373461,-284307633410,-447842572341,0,-125477836812,4542949540971,-3386572345633,32360460543,-298004536121,119070843886,-230628789000,0,0,-3763774366325,58500000,0,22541238710236,-22433385840450,-540720414633,-432809044847,346366129799,2026280467705,115243361,2372761840865
10,HPG,2014,3769520728432,1109518432670,209663586663,82549401774,-23625391281,350628944467,5743142484326,-39335171949,235303034097,-2199063441613,-28905066932,-325690062547,-575207645980,33084042052,-81054853105,2762273318349,-1165028194450,21687699513,-158593682578,0,-56955592861,1500000000,107306447497,-1250083322879,475000000,0,21167443398643,-22097815712253,-681451419825,-1611348733435,-99158737965,2125322390697,116814973,2026280467705
11,HPG,2013,2394404194432,720195566311,-147647242587,9755308690,-239922767209,370947849826,3382756788189,184894312063,-1216858380400,1674080391405,43029826617,-558923619216,-200847280440,21180037819,-95479361817,3233832714220,-2921311668380,11605368430,-163135157802,0,-395947200000,116266905518,100056500126,-3252465252108,620000000,0,18941877013166,-17672451806682,-420496176570,849549029914,830916492026,1294493700487,-87801816,2125322390697
