,ticker,yearReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company
0,HPG,2024,0.16788764028869568,140561387448572,12021443836074,0.7587901514911872,2618917240287,-2287360810880,140561387448572,-1706275317185,138855112131387,-120357563003703,18497549127684,-3966636074605,0,-2337308685264,-1545516022772,13267005585330,1159769685093,0,-733273009245,426496675848,13693502261178,-1765806007240,92327367333,12020023621271,-1420214803,12021443836074
1,HPG,2023,-0.15700393486910685,120355231616139,6835064334356,-0.19431180160337386,3173086404949,-3585077683881,120355231616139,-1402203722485,118953027893654,-106015187198082,12937840695572,-5191511844389,0,-1961362129952,-1307290336873,7650762789307,771973465495,0,-630007511629,141965953866,7792728743173,-1073551888059,81211459967,6800388315081,-34676019275,6835064334356
2,HPG,2022,-0.05365412770765837,142770810676858,8483510554031,-0.7539452601770046,3743650707331,-3083638131818,142770810676858,-1361536216226,141409274460632,-124645848221080,16763426239552,-7026723285241,-1072667584,-2665806087302,-1019444279447,9794030627309,872024724926,0,-743114224951,128910499975,9922941127284,-1001020240086,-477491832682,8444429054516,-39081499515,8483510554031
3,HPG,2021,0.6527929855390505,150865359967200,34478143197460,1.5633735353176597,3071440640188,-2525823258237,150865359967200,-1185569987855,149679789979345,-108571380446353,41108409532992,-3731542257873,4465302865,-2120068223228,-1324261548679,37008443446265,796666105925,0,-748331838000,48334267925,37056777714190,-2855306347167,319483564275,34520954931298,42811733838,34478143197460
4,HPG,2020,0.41128627385412764,91279041771826,13450300052812,0.7868352226512231,1004789766270,-2191680923417,91279041771826,-1160538345109,90118503426717,-71214453522563,18904049904154,-2837406430588,1964631764,-1090795558423,-690298504185,15292303808992,654081334225,0,-589418351516,64662982709,15356966791701,-1784567843866,-66234890928,13506164056907,55864004095,13450300052812
5,HPG,2019,0.14311456775578538,64677906575644,7527442867874,-0.12196076162686172,471053832011,-936710218359,64677906575644,-1019713901853,63658192673791,-52472820451654,11185372222137,-1181675710916,-1431313615,-873333584688,-569005805722,9030979639207,657680931477,0,-591998447298,65682484179,9096662123386,-1603307926680,84894039523,7578248236229,50805368355,7527442867874
6,HPG,2018,0.20756875781001485,56580423695083,8573014210414,0.07073376910084148,294408270741,-539861243640,56580423695083,-743965315324,55836458379759,-44165626148685,11670832231074,-772317161901,0,-676809221259,-444024985823,10072089132832,488856588036,0,-489872848566,-1016260530,10071072872302,-1506320087551,35797921476,8600550706227,27536495813,8573014210414
7,HPG,2017,0.38276449902223036,46854825722466,8006672113847,0.21274589721836062,186215464700,-479707569855,46854825722466,-693134108162,46161691614304,-35536120578221,10625571036083,-555756583746,-159611603,-594707868484,-409038156382,9252124280568,432791811829,0,-396546349700,36245462129,9288369742697,-1317628785035,44015628386,8014756586048,8084472201,8006672113847
8,HPG,2016,0.216057024018176,33884892008435,6602102000272,0.8941822271505705,197181167853,-279951879407,33884892008435,-601681848448,33283210159987,-24532650438985,8750559721002,-367986756135,-534948182,-489954015797,-404587312609,7684677856132,434468369665,0,-417322272122,17146097543,7701823953675,-1138489987447,42868760701,6606202726929,4100726657,6602102000272
9,HPG,2015,0.07897096022939781,27864558436964,3485462964249,0.1085186640493056,248607642113,-251337896345,27864558436964,-411626322631,27452932114333,-21858956167813,5593975946520,-566233897606,-190801524,-424150105358,-760822612994,4091186171151,314546263699,0,-415903770054,-101357506355,3989828664796,-516978888313,31532711296,3504382487779,18919523530,3485462964249
10,HPG,2014,0.34504211701978266,25825123626163,3144252845971,0.6089821396534465,160287779327,-350628944467,25825123626163,-299774803450,25525348822713,-20338346539679,5187002283034,-563834231079,-171255307,-366087885891,-607214249307,3809982440777,257727314747,0,-298189027092,-40461712345,3769520728432,-517116335811,-2189802417,3250214590204,105961744233,3144252845971
11,HPG,2013,0.0,19200234178082,1954187537873,0.0,276278618993,-370947849826,19200234178082,-265942027551,18934292150531,-15650540636204,3283751514327,-528408903958,0,-253653065057,-416174707153,2361793457152,199104247497,-256198814,-166237311403,32866936094,2394404194432,-390183260599,6214468936,2010435402769,56247864896,1954187537873
