,code,consecutive_increase_MA,last_MA,first_MA,total_increase_MA
292,SGN,35,9089230.0,9130045.0,-40815.0
339,TDP,31,59827.0,95188.0,-35361.0
109,FCM,31,1501955.0,1330213.0,171742.0
59,CRE,27,18788198.0,18658450.0,129748.0
173,HT1,26,10292203.0,4932938.0,5359265.0
51,CLW,22,534230.0,622990.0,-88760.0
80,DHA,21,1673662.0,1501732.0,171930.0
21,AST,20,20224863.0,19606230.0,618633.0
205,IMP,19,78764768.8,75919208.0,2845560.799999997
6,ADG,18,8607992.0,9893743.0,-1285751.0
217,MIG,18,32765378.6,28991274.0,3774104.6000000015
253,PGD,17,45967644.0,46396456.0,-428812.0
81,DHC,16,35049821.0,32933714.0,2116107.0
279,SAM,16,2955494.2,2327532.0,627962.2000000002
50,CII,15,34023569.2,16708724.0,17314845.200000003
77,DCM,15,36072670.0,31330022.0,4742648.0
93,DSC,15,160930.0,15200.0,145730.0
360,TRC,14,913036.0,732016.0,181020.0
368,VAB,13,1114612.0,856185.0,258427.0
299,SJS,12,1851219.8,699130.0,1152089.8
364,TTF,12,23784311.0,22888018.0,896293.0
32,BSI,12,91068638.0,91392624.0,-323986.0
338,TDM,10,2459864.0,3453444.0,-993580.0
33,BKG,10,147400.0,71940.0,75460.0
266,PDR,10,108127526.8,65954410.0,42173116.8
319,TAL,10,54690.0,4400.0,50290.0
162,HDG,10,68093384.0,67338513.0,754871.0
327,TCI,9,6310175.0,5982108.0,328067.0
247,PAN,9,46411424.0,40221745.0,6189679.0
49,CDC,9,104959.0,103431.0,1528.0
379,VIB,9,169594851.8,148658477.0,20936374.800000012
193,KOS,9,333913.0,294272.0,39641.0
101,DXG,9,269728954.0,137642536.0,132086418.0
31,BMC,9,558661.0,616577.0,-57916.0
151,HAR,9,4068686.0,2610961.0,1457725.0
337,TDW,8,251242.0,257610.0,-6368.0
384,VIX,8,196857809.8,77784091.0,119073718.80000001
23,BCG,8,10925282.0,11479455.0,-554173.0
223,NAF,7,9495916.0,12978002.0,-3482086.0
271,RAL,7,372516.0,513960.0,-141444.0
237,NVT,7,67540.0,110920.0,-43380.0
144,GMD,7,168666526.2,190354227.0,-21687700.800000012
350,TNC,7,107103.0,107092.0,11.0
119,FUCVREIT,7,47910.0,81520.0,-33610.0
174,HSG,6,59906302.8,62092147.0,-2185844.200000003
341,TIP,6,11123812.0,11174582.0,-50770.0
83,DIG,6,34992669.4,25568277.0,9424392.399999999
240,OCB,6,488353740.4,472739669.0,15614071.399999976
241,OGC,6,1244616.0,733316.0,511300.0
274,RYG,6,25800.0,11000.0,14800.0
351,TNT,6,715799.0,769359.0,-53560.0
334,TDH,6,1255817.2,1569325.0,-313507.80000000005
239,NT2,6,29834928.0,39189960.0,-9355032.0
132,FUESSVFL,6,8661458.0,9370539.0,-709081.0
396,VPL,6,1736121.0,0.0,1736121.0
17,AGG,6,1661839.0,1269760.0,392079.0
233,NSC,5,1594765.0,1488547.0,106218.0
35,BSR,5,16122094.0,17326003.0,-1203909.0
262,PNJ,5,165615758.0,165656640.0,-40882.0
165,HHV,5,54619975.2,37970451.0,16649524.200000003
336,TEG,5,6241622.0,6227442.0,14180.0
245,PC1,5,54048238.0,46928086.0,7120152.0
219,MHC,5,405625.0,498221.0,-92596.0
347,TN1,5,20725.4,74591.0,-53865.6
209,LIX,5,1839281.0,2033653.0,-194372.0
363,TYA,5,2288890.0,2377583.0,-88693.0
401,VSC,5,16416122.8,6445291.0,9970831.8
309,SSB,5,9457725.8,3863773.0,5593952.800000001
26,BFC,5,2232501.0,1321620.0,910881.0
41,BVH,4,201572004.0,197423144.0,4148860.0
175,HTI,4,1670617.2,3787755.0,-2117137.8
125,FUEKIVFS,4,15599640.0,21265400.0,-5665760.0
346,TMP,4,454551.4,568089.0,-113537.59999999998
399,VRC,4,55274.0,71975.0,-16701.0
201,LGL,4,253521.0,1095731.0,-842210.0
104,EIB,4,98049061.0,46242150.0,51806911.0
232,NNC,4,872774.0,1106810.0,-234036.0
395,VPD,4,33193086.0,33180440.0,12646.0
154,HAG,4,33414502.0,24833475.0,8581027.0
380,VGC,4,26413211.0,16341763.0,10071448.0
29,BID,4,1223346398.0,959884936.0,263461462.0
161,HID,4,734763.0,364583.0,370180.0
378,VCI,4,204896452.0,180617932.0,24278520.0
178,HTN,3,1676145.0,839957.0,836188.0
25,BCM,3,22215703.0,22802151.0,-586448.0
181,HVX,3,418940.0,391000.0,27940.0
22,BCE,3,1002154.0,441240.0,560914.0
352,TNI,3,69908.4,67686.0,2222.399999999994
263,POW,3,73827081.0,88793358.0,-14966277.0
70,DBC,3,15927619.6,28543735.0,-12616115.4
44,C32,3,157151.0,161909.0,-4758.0
374,VDS,3,4228607.0,7341502.0,-3112895.0
122,FIR,3,178665.0,150815.0,27850.0
163,HDB,2,613219288.8,504509870.0,108709418.79999995
114,FPT,2,585954076.0,670767082.0,-84813006.0
180,HVH,2,247910.0,1171234.0,-923324.0
110,EVG,2,2782931.2,1340192.0,1442739.2000000002
398,VPI,2,36640486.6,35716322.0,924164.6000000015
153,HAX,2,9288975.0,25864092.0,-16575117.0
328,TCM,2,55861368.0,50557897.0,5303471.0
131,FUETCC50,2,300580.0,0.0,300580.0
