code,type,time,floor,buyVal,sellVal,netVal,buyVol,sellVol,netVol,totalRoom,currentRoom
IDC,STOCK,2025-07-30,HNX,591880000.0,1325580000.0,-733700000.0,13100.0,29400.0,-16300.0,161699965.0,99253412.0
IDC,STOCK,2025-07-29,HNX,27630260000.0,25760970000.0,1869290000.0,597600.0,551500.0,46100.0,161699965.0,98791790.0
IDC,STOCK,2025-07-28,HNX,38428200000.0,41534050000.0,-3105850000.0,813700.0,881400.0,-67700.0,161699965.0,99389390.0
IDC,STOCK,2025-07-25,HNX,1700242600.0,7499140000.0,-5798897400.0,36178.0,159600.0,-123422.0,161699965.0,99315190.0
IDC,STOCK,2025-07-24,HNX,2731740000.0,6160480000.0,-3428740000.0,58700.0,133100.0,-74400.0,161699965.0,99315190.0
IDC,STOCK,2025-07-23,HNX,12746650500.0,7335100000.0,5411550500.0,276005.0,158900.0,117105.0,161699965.0,98956390.0
IDC,STOCK,2025-07-22,HNX,9013650000.0,25316730000.0,-16303080000.0,200100.0,558900.0,-358800.0,161699965.0,98363795.0
IDC,STOCK,2025-07-21,HNX,105140000.0,32742750000.0,-32637610000.0,2300.0,712000.0,-709700.0,161699965.0,97447795.0
IDC,STOCK,2025-07-18,HNX,2318150000.0,44861700000.0,-42543550000.0,49700.0,965700.0,-916000.0,161699965.0,97248995.0
IDC,STOCK,2025-07-17,HNX,3211490000.0,12478220000.0,-9266730000.0,69500.0,268300.0,-198800.0,161699965.0,97085595.0
IDC,STOCK,2025-07-16,HNX,429630000.0,7963900000.0,-7534270000.0,9300.0,172700.0,-163400.0,161699965.0,97085595.0
IDC,STOCK,2025-07-15,HNX,12201890000.0,11048180000.0,1153710000.0,262900.0,238100.0,24800.0,161699965.0,97085595.0
IDC,STOCK,2025-07-14,HNX,3800109600.0,983570000.0,2816539600.0,81953.0,21100.0,60853.0,161699965.0,97110395.0
IDC,STOCK,2025-07-11,HNX,9473820000.0,2205310000.0,7268510000.0,202800.0,47200.0,155600.0,161699965.0,97082513.0
IDC,STOCK,2025-07-10,HNX,5381165100.0,7364670000.0,-1983504900.0,115315.0,156800.0,-41485.0,161699965.0,97285363.0
IDC,STOCK,2025-07-09,HNX,9756074200.0,785870000.0,8970204200.0,205533.0,16400.0,189133.0,161699965.0,96625068.0
IDC,STOCK,2025-07-08,HNX,11527709000.0,36435230000.0,-24907521000.0,241810.0,771800.0,-529990.0,161699965.0,96841806.0
IDC,STOCK,2025-07-07,HNX,16298950000.0,21012310000.0,-4713360000.0,349800.0,452500.0,-102700.0,161699965.0,96073006.0
IDC,STOCK,2025-07-04,HNX,76073030000.0,40938160000.0,35134870000.0,1627100.0,873200.0,753900.0,161699965.0,96841806.0
IDC,STOCK,2025-07-03,HNX,154396071200.0,27268840000.0,127127231200.0,3283056.0,579400.0,2703656.0,161699965.0,96975102.0
IDC,STOCK,2025-07-02,HNX,80723624700.0,12778080700.0,67945544000.0,1695721.0,267561.0,1428160.0,161699965.0,100299362.0
IDC,STOCK,2025-07-01,HNX,60832520000.0,1827980000.0,59004540000.0,1338800.0,39900.0,1298900.0,161699965.0,101727522.0
IDC,STOCK,2025-06-30,HNX,19300551000.0,6804920000.0,12495631000.0,437610.0,154400.0,283210.0,161699965.0,103026422.0
IDC,STOCK,2025-06-27,HNX,9850600000.0,4387150000.0,5463450000.0,223900.0,99800.0,124100.0,161699965.0,103248132.0
IDC,STOCK,2025-06-26,HNX,1667140000.0,4373480000.0,-2706340000.0,37900.0,99400.0,-61500.0,161699965.0,103372232.0
IDC,STOCK,2025-06-25,HNX,8969230000.0,1829740000.0,7139490000.0,202600.0,41500.0,161100.0,161699965.0,103311832.0
IDC,STOCK,2025-06-24,HNX,32040206200.0,14247776000.0,17792430200.0,735451.0,329320.0,406131.0,161699965.0,103533332.0
IDC,STOCK,2025-06-23,HNX,20944700000.0,9321850000.0,11622850000.0,499100.0,222800.0,276300.0,161699965.0,103541873.0
